Company Name,Website,Booth #,Category/Tier,Description,LinkedIn URL,Confidence
T-Mobile for Business,https://www.t-mobile.com/business,,Title Sponsor - CP Expo,"Nation's largest 5G network; convergence of network and technology for businesses",https://www.linkedin.com/company/t-mobile/,Confirmed
ThreatLocker,https://www.threatlocker.com,,Title Sponsor - MSP Summit,"Enterprise-level Zero Trust endpoint security: Allowlisting, Ringfencing, EDR/MDR",https://www.linkedin.com/company/threatlocker/,Confirmed
Verizon Partner Network,https://www.verizon.com/partner/,,Foundation Sponsor,"Award-winning partner program combining partner portfolios with Verizon network",https://www.linkedin.com/company/verizon/,Confirmed
Ingram Micro,https://www.ingrammicro.com,,Foundation Sponsor,"Leading global technology distributor reaching ~90% of global population",https://www.linkedin.com/company/ingram-micro/,Confirmed
Lumen Technologies,https://www.lumen.com,1147,Foundation Sponsor,"Global communications services provider; networking, edge cloud, cybersecurity. Also has Lumen Lounge (Veronese 2502)",https://www.linkedin.com/company/laborlumen/,Confirmed
AppDirect,https://www.appdirect.com,,Diamond Sponsor,"B2B subscription commerce platform; 1,000+ providers, 10,000 advisors, 5M subscribers",https://www.linkedin.com/company/appdirect/,Confirmed
Microsoft Marketplace,https://www.microsoft.com,1536,Platinum Sponsor,"Largest catalog of AI apps and agents; connecting partner solutions to Microsoft customers",https://www.linkedin.com/company/microsoft/,Confirmed
Telarus,https://www.telarus.com,,Official Tech Sponsor,"Leading global technology services distributor; 20+ years supporting partner community",https://www.linkedin.com/company/telarus/,Confirmed
Nextiva,https://www.nextiva.com,,Official Tech Sponsor,"AI-powered Unified-CXM platform for personalized customer experiences",https://www.linkedin.com/company/nextiva/,Confirmed
Consolidated Communications,https://www.consolidated.com,,Official Tech Sponsor / Event App Sponsor,"Top 10 U.S. fiber provider; 50,000+ fiber route miles. Also branded as Fidium Partners",https://www.linkedin.com/company/consolidated-communications/,Confirmed
Vonage,https://www.vonage.com,,Official Tech Sponsor,"AI-powered platform: Network APIs, CPaaS, CCaaS, UCaaS solutions",https://www.linkedin.com/company/vonage/,Confirmed
NinjaOne,https://www.ninjaone.com,,Sponsor,"Automated endpoint management platform; 30,000+ customers in 130+ countries",https://www.linkedin.com/company/ninjaone/,Confirmed
